"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Tocantinópolis (TO)";"549";"-";"-";"172";"-"
"Tupirama (TO)";"13953";"-";"-";"3080";"10348"
"Tupiratins (TO)";"1811";"-";"-";"80";"1627"
"Wanderlândia (TO)";"4090";"-";"-";"550";"3060"
"Xambioá (TO)";"1525";"-";"-";"700";"600"
"Açailândia (MA)";"90392";"-";"-";"9017";"80906"
"Afonso Cunha (MA)";"11476";"-";"5";"150";"8030"
"Água Doce do Maranhão (MA)";"979";"-";"-";"469";"-"
"Alcântara (MA)";"1040";"-";"-";"111";"-"
"Aldeias Altas (MA)";"21267";"-";"7200";"1000";"11969"
"Altamira do Maranhão (MA)";"410";"-";"-";"205";"-"
"Alto Alegre do Maranhão (MA)";"583";"-";"-";"75";"-"
"Alto Alegre do Pindaré (MA)";"1757";"-";"-";"510";"700"
"Alto Parnaíba (MA)";"76361";"-";"-";"14901";"57550"
"Amapá do Maranhão (MA)";"394";"-";"-";"65";"-"
"Amarante do Maranhão (MA)";"2608";"-";"5";"1210";"900"
"Anajatuba (MA)";"808";"-";"-";"282";"-"
"Anapurus (MA)";"9183";"-";"48";"800";"7800"
"Apicum-Açu (MA)";"507";"-";"-";"80";"-"
"Araguanã (MA)";"365";"-";"-";"87";"-"
"Araioses (MA)";"1735";"-";"-";"178";"-"
"Arame (MA)";"2597";"-";"10";"1950";"160"
"Arari (MA)";"6198";"-";"-";"177";"-"
"Axixá (MA)";"363";"-";"-";"31";"-"
"Bacabal (MA)";"959";"-";"-";"270";"-"
"Bacabeira (MA)";"199";"-";"3";"29";"-"
"Bacuri (MA)";"829";"-";"-";"298";"-"
"Bacurituba (MA)";"333";"-";"-";"39";"-"
"Balsas (MA)";"338073";"-";"28";"109489";"203577"
"Barão de Grajaú (MA)";"1028";"-";"27";"385";"-"
"Barra do Corda (MA)";"16896";"-";"17";"2650";"13150"
"Barreirinhas (MA)";"3250";"-";"-";"50";"-"
"Belágua (MA)";"523";"-";"-";"38";"-"
"Bela Vista do Maranhão (MA)";"204";"-";"-";"32";"-"
"Benedito Leite (MA)";"8280";"-";"-";"155";"7200"
"Bequimão (MA)";"1331";"-";"-";"510";"-"
"Bernardo do Mearim (MA)";"294";"-";"-";"82";"-"
"Boa Vista do Gurupi (MA)";"202";"-";"-";"23";"-"
"Bom Jardim (MA)";"21952";"-";"-";"4000";"17000"
"Bom Jesus das Selvas (MA)";"11436";"-";"-";"7100";"4050"
"Bom Lugar (MA)";"145";"-";"-";"80";"-"
"Brejo (MA)";"18213";"-";"33";"700";"16300"
"Brejo de Areia (MA)";"270";"-";"-";"120";"-"
"Buriti (MA)";"15912";"-";"7";"720";"13980"
"Buriti Bravo (MA)";"21485";"-";"42";"3500";"16100"
"Buriticupu (MA)";"51162";"-";"-";"9350";"41000"
"Buritirana (MA)";"308";"-";"-";"125";"-"
"Cachoeira Grande (MA)";"353";"-";"-";"76";"-"
"Cajapió (MA)";"256";"-";"-";"50";"-"
"Cajari (MA)";"1010";"-";"-";"155";"-"
"Campestre do Maranhão (MA)";"6063";"-";"5891";"58";"-"
"Cândido Mendes (MA)";"698";"-";"-";"220";"-"
"Cantanhede (MA)";"1841";"-";"-";"520";"-"
"Capinzal do Norte (MA)";"367";"-";"-";"210";"-"
"Carolina (MA)";"50889";"-";"-";"20365";"29070"
"Carutapera (MA)";"362";"-";"-";"50";"-"
"Caxias (MA)";"31630";"-";"3630";"4726";"19312"
"Cedral (MA)";"487";"-";"-";"100";"-"
"Central do Maranhão (MA)";"439";"-";"-";"71";"-"
"Centro do Guilherme (MA)";"1017";"-";"-";"310";"-"
"Centro Novo do Maranhão (MA)";"916";"-";"-";"265";"-"
"Chapadinha (MA)";"7412";"-";"-";"780";"4900"
"Cidelândia (MA)";"10927";"-";"-";"1071";"9760"
"Codó (MA)";"12050";"-";"1160";"3878";"3441"
"Coelho Neto (MA)";"3874";"-";"2682";"460";"-"
"Colinas (MA)";"11281";"-";"4";"1500";"9000"
"Conceição do Lago-Açu (MA)";"721";"-";"-";"270";"-"
"Coroatá (MA)";"3717";"-";"5";"1190";"-"
"Cururupu (MA)";"512";"-";"-";"55";"-"
"Davinópolis (MA)";"359";"-";"-";"280";"-"
"Dom Pedro (MA)";"1678";"-";"7";"1265";"-"
"Duque Bacelar (MA)";"543";"-";"55";"160";"-"
"Esperantinópolis (MA)";"968";"-";"-";"150";"425"
"Estreito (MA)";"9232";"-";"-";"1971";"6910"
"Feira Nova do Maranhão (MA)";"4203";"-";"19";"1464";"1850"
"Fernando Falcão (MA)";"16797";"-";"-";"3682";"12776"
"Formosa da Serra Negra (MA)";"1547";"-";"6";"850";"200"
"Fortaleza dos Nogueiras (MA)";"31472";"-";"-";"11727";"18623"
"Fortuna (MA)";"8409";"-";"-";"3900";"3910"
"Godofredo Viana (MA)";"313";"-";"-";"70";"-"
"Gonçalves Dias (MA)";"1637";"-";"18";"1020";"-"
"Governador Archer (MA)";"549";"-";"4";"250";"-"
"Governador Edison Lobão (MA)";"187";"-";"-";"130";"-"
"Governador Eugênio Barros (MA)";"6898";"-";"-";"1500";"5015"
"Governador Luiz Rocha (MA)";"5177";"-";"-";"2330";"2500"
"Governador Newton Bello (MA)";"309";"-";"-";"65";"-"
"Governador Nunes Freire (MA)";"950";"-";"-";"284";"-"
"Graça Aranha (MA)";"1109";"-";"-";"594";"-"
"Grajaú (MA)";"56583";"-";"12";"7450";"46820"
"Guimarães (MA)";"695";"-";"42";"145";"-"
"Humberto de Campos (MA)";"672";"-";"-";"56";"-"
"Icatu (MA)";"629";"-";"-";"22";"-"
"Igarapé do Meio (MA)";"204";"-";"-";"33";"-"
"Igarapé Grande (MA)";"83";"-";"-";"37";"-"
"Imperatriz (MA)";"284";"-";"-";"66";"-"
"Itaipava do Grajaú (MA)";"675";"-";"25";"300";"-"
"Itapecuru Mirim (MA)";"2647";"-";"-";"730";"-"
"Itinga do Maranhão (MA)";"52202";"-";"-";"10399";"40696"
"Jatobá (MA)";"1697";"-";"-";"650";"430"
"Jenipapo dos Vieiras (MA)";"1210";"-";"6";"512";"400"
"João Lisboa (MA)";"1201";"-";"-";"720";"421"
"Joselândia (MA)";"614";"-";"-";"70";"-"
"Junco do Maranhão (MA)";"338";"-";"-";"110";"-"
"Lago da Pedra (MA)";"7920";"-";"-";"150";"7400"
"Lago do Junco (MA)";"517";"-";"-";"300";"-"
"Lago Verde (MA)";"629";"-";"-";"210";"-"
"Lagoa do Mato (MA)";"10407";"-";"5";"648";"9187"
"Lago dos Rodrigues (MA)";"446";"-";"153";"90";"-"
"Lagoa Grande do Maranhão (MA)";"540";"-";"-";"245";"-"
"Lajeado Novo (MA)";"2560";"-";"-";"753";"1520"
"Lima Campos (MA)";"146";"-";"-";"25";"-"
"Loreto (MA)";"58522";"-";"15";"15366";"39160"
"Luís Domingues (MA)";"285";"-";"-";"25";"-"
"Magalhães de Almeida (MA)";"5954";"-";"-";"740";"4200"
"Maracaçumé (MA)";"488";"-";"-";"90";"-"
"Marajá do Sena (MA)";"4785";"-";"-";"1500";"2754"
"Maranhãozinho (MA)";"570";"-";"-";"105";"-"
"Mata Roma (MA)";"9409";"-";"20";"480";"8400"
"Matinha (MA)";"971";"-";"-";"208";"-"
"Matões (MA)";"14719";"-";"5";"3000";"9000"
"Matões do Norte (MA)";"1597";"-";"-";"415";"-"
"Milagres do Maranhão (MA)";"5721";"-";"15";"230";"4800"
"Mirador (MA)";"42167";"-";"198";"3910";"36903"
"Miranda do Norte (MA)";"736";"-";"-";"102";"-"
"Mirinzal (MA)";"859";"-";"44";"323";"-"
"Monção (MA)";"794";"-";"-";"210";"-"
"Montes Altos (MA)";"455";"-";"-";"220";"-"
"Morros (MA)";"697";"-";"-";"79";"-"
"Nina Rodrigues (MA)";"524";"-";"-";"130";"-"
"Nova Colinas (MA)";"7082";"-";"8";"3100";"3260"
"Nova Iorque (MA)";"2150";"-";"-";"288";"1450"
"Nova Olinda do Maranhão (MA)";"711";"-";"-";"139";"-"
"Olho d'Água das Cunhãs (MA)";"642";"-";"-";"220";"-"
"Olinda Nova do Maranhão (MA)";"500";"-";"-";"80";"-"
"Paço do Lumiar (MA)";"216";"-";"-";"-";"-"
"Palmeirândia (MA)";"1565";"-";"46";"540";"-"
"Paraibano (MA)";"2086";"-";"45";"235";"1220"
"Parnarama (MA)";"25762";"-";"140";"4300";"18500"
"Passagem Franca (MA)";"6350";"-";"74";"350";"5027"
"Pastos Bons (MA)";"13239";"-";"217";"1980";"10407"
"Paulino Neves (MA)";"824";"-";"7";"92";"-"
"Paulo Ramos (MA)";"1798";"-";"-";"280";"800"
"Pedreiras (MA)";"459";"-";"-";"101";"-"
"Pedro do Rosário (MA)";"1342";"-";"-";"379";"-"
"Penalva (MA)";"1125";"-";"4";"243";"-"
"Peri Mirim (MA)";"674";"-";"-";"205";"-"
"Peritoró (MA)";"1184";"-";"4";"360";"-"
"Pindaré-Mirim (MA)";"240";"-";"-";"44";"-"
"Pinheiro (MA)";"2074";"-";"41";"611";"-"
"Pio XII (MA)";"827";"-";"-";"236";"-"
"Pirapemas (MA)";"1247";"-";"-";"330";"-"
"Poção de Pedras (MA)";"309";"-";"-";"127";"-"
"Porto Franco (MA)";"2642";"-";"-";"1210";"1173"
"Porto Rico do Maranhão (MA)";"504";"-";"-";"53";"-"
"Presidente Dutra (MA)";"2000";"-";"16";"1370";"-"
"Presidente Juscelino (MA)";"411";"-";"-";"30";"-"
"Presidente Médici (MA)";"327";"-";"-";"60";"-"
"Presidente Sarney (MA)";"1547";"-";"-";"589";"-"
"Presidente Vargas (MA)";"932";"-";"-";"272";"-"
"Primeira Cruz (MA)";"266";"-";"-";"18";"-"
"Raposa (MA)";"21";"-";"-";"-";"-"
"Riachão (MA)";"78706";"-";"4";"21470";"52620"
"Ribamar Fiquene (MA)";"2199";"-";"1639";"236";"-"
"Rosário (MA)";"186";"-";"2";"40";"-"
"Sambaíba (MA)";"70205";"-";"29";"20995";"45410"
"Santa Filomena do Maranhão (MA)";"675";"-";"-";"380";"102"
"Santa Helena (MA)";"915";"-";"-";"364";"-"
"Santa Inês (MA)";"369";"-";"-";"60";"-"
"Santa Luzia (MA)";"38132";"-";"-";"23500";"13000"
"Santa Luzia do Paruá (MA)";"552";"-";"-";"60";"-"
"Santa Quitéria do Maranhão (MA)";"5699";"-";"32";"904";"3911"
"Santa Rita (MA)";"291";"-";"-";"32";"-"
"Santana do Maranhão (MA)";"946";"-";"-";"312";"-"
"Santo Amaro do Maranhão (MA)";"2979";"-";"-";"28";"-"
"Santo Antônio dos Lopes (MA)";"274";"-";"45";"40";"-"
"São Benedito do Rio Preto (MA)";"2730";"-";"70";"210";"1700"
"São Bento (MA)";"888";"-";"-";"300";"-"
"São Bernardo (MA)";"3629";"-";"47";"1200";"1630"
"São Domingos do Azeitão (MA)";"45652";"-";"21";"8500";"31116"
"São Domingos do Maranhão (MA)";"7783";"-";"-";"1250";"3460"
"São Félix de Balsas (MA)";"8503";"-";"-";"2123";"4910"
"São Francisco do Brejão (MA)";"461";"-";"-";"302";"-"
"São Francisco do Maranhão (MA)";"4711";"-";"-";"247";"3850"
"São João Batista (MA)";"600";"-";"-";"196";"-"
"São João do Carú (MA)";"509";"-";"-";"118";"-"
"São João do Paraíso (MA)";"2665";"-";"-";"140";"1600"
"São João do Soter (MA)";"16930";"-";"4";"1091";"14981"
"São João dos Patos (MA)";"8096";"-";"47";"1600";"5650"
"São José de Ribamar (MA)";"50";"-";"-";"-";"-"
"São José dos Basílios (MA)";"1699";"-";"-";"930";"-"
"São Luís (MA)";"57";"-";"-";"-";"-"
"São Luís Gonzaga do Maranhão (MA)";"425";"-";"-";"110";"-"
"São Mateus do Maranhão (MA)";"10358";"-";"-";"205";"-"
"São Pedro da Água Branca (MA)";"2562";"-";"-";"655";"1550"
"São Pedro dos Crentes (MA)";"3021";"-";"-";"817";"1740"
"São Raimundo das Mangabeiras (MA)";"62834";"-";"20282";"25026";"16020"
"São Raimundo do Doca Bezerra (MA)";"619";"-";"-";"412";"-"
"São Roberto (MA)";"349";"-";"-";"90";"-"
"São Vicente Ferrer (MA)";"935";"-";"-";"220";"-"
"Satubinha (MA)";"332";"-";"-";"110";"-"
"Senador Alexandre Costa (MA)";"8123";"-";"-";"3213";"3450"
"Senador La Rocque (MA)";"822";"-";"-";"460";"292"
"Serrano do Maranhão (MA)";"957";"-";"-";"373";"-"
"Sítio Novo (MA)";"4168";"-";"5";"1470";"2050"
"Sucupira do Norte (MA)";"15598";"-";"115";"667";"14200"
"Sucupira do Riachão (MA)";"4015";"-";"292";"482";"2146"
"Tasso Fragoso (MA)";"267168";"-";"-";"57025";"187891"
"Timbiras (MA)";"3336";"-";"20";"1430";"-"
"Timon (MA)";"5859";"-";"412";"1200";"1271"
"Trizidela do Vale (MA)";"278";"-";"-";"100";"-"
"Tufilândia (MA)";"147";"-";"-";"25";"-"
"Tuntum (MA)";"6614";"-";"900";"3050";"380"
"Turiaçu (MA)";"2051";"-";"-";"900";"-"
"Turilândia (MA)";"1111";"-";"-";"430";"-"
"Tutóia (MA)";"2222";"-";"-";"608";"-"
"Urbano Santos (MA)";"2783";"-";"8";"220";"1100"
"Vargem Grande (MA)";"1890";"-";"-";"654";"-"
"Viana (MA)";"2197";"-";"-";"255";"-"
"Vila Nova dos Martírios (MA)";"6099";"-";"-";"810";"4893"
"Vitória do Mearim (MA)";"1923";"-";"-";"150";"-"
"Vitorino Freire (MA)";"376";"-";"-";"150";"-"
"Zé Doca (MA)";"999";"-";"-";"317";"-"
"Acauã (PI)";"3507";"-";"-";"2300";"-"
"Agricolândia (PI)";"1422";"-";"-";"371";"816"
"Água Branca (PI)";"458";"-";"-";"270";"-"
"Alagoinha do Piauí (PI)";"7365";"-";"-";"2700";"-"
"Alegrete do Piauí (PI)";"2885";"-";"-";"2500";"-"
"Alto Longá (PI)";"3202";"-";"5";"1200";"-"
"Altos (PI)";"1663";"-";"5";"529";"-"
"Alvorada do Gurguéia (PI)";"6946";"-";"60";"482";"5983"
"Amarante (PI)";"4665";"-";"100";"1900";"-"
"Angical do Piauí (PI)";"984";"-";"28";"500";"-"
"Anísio de Abreu (PI)";"3689";"-";"-";"3005";"-"
"Antônio Almeida (PI)";"7836";"-";"5";"1111";"6424"
"Aroazes (PI)";"710";"-";"-";"500";"-"
"Aroeiras do Itaim (PI)";"2316";"-";"-";"2000";"-"
"Arraial (PI)";"857";"-";"-";"488";"-"
"Assunção do Piauí (PI)";"4733";"-";"7";"2106";"-"
"Avelino Lopes (PI)";"2830";"-";"-";"1540";"-"
"Baixa Grande do Ribeiro (PI)";"356110";"-";"20";"54822";"277672"
"Barra D'Alcântara (PI)";"684";"-";"-";"400";"-"
"Barras (PI)";"6223";"-";"80";"2040";"200"
"Barreiras do Piauí (PI)";"18983";"-";"-";"1650";"15838"
"Barro Duro (PI)";"1288";"-";"15";"400";"-"
"Batalha (PI)";"4086";"-";"10";"1275";"-"
"Bela Vista do Piauí (PI)";"2261";"-";"-";"1440";"-"
"Belém do Piauí (PI)";"2895";"-";"-";"1500";"-"
"Beneditinos (PI)";"1820";"-";"-";"450";"-"
"Bertolínia (PI)";"1016";"-";"-";"650";"-"
"Betânia do Piauí (PI)";"4000";"-";"-";"2500";"-"
"Boa Hora (PI)";"2152";"-";"444";"100";"1200"
"Bocaina (PI)";"1151";"-";"2";"250";"-"
"Bom Jesus (PI)";"109326";"-";"10";"12727";"94361"
"Bom Princípio do Piauí (PI)";"7436";"-";"-";"1930";"-"
"Bonfim do Piauí (PI)";"2214";"-";"-";"930";"-"
"Boqueirão do Piauí (PI)";"1002";"-";"-";"332";"-"
"Brasileira (PI)";"1197";"-";"-";"480";"-"
"Brejo do Piauí (PI)";"1579";"-";"-";"1140";"-"
"Buriti dos Lopes (PI)";"6039";"-";"-";"1230";"185"
"Buriti dos Montes (PI)";"2275";"-";"-";"1110";"-"
"Cabeceiras do Piauí (PI)";"1516";"-";"-";"505";"-"
"Cajazeiras do Piauí (PI)";"845";"-";"-";"629";"-"
"Cajueiro da Praia (PI)";"2446";"-";"-";"770";"-"
"Caldeirão Grande do Piauí (PI)";"10980";"-";"-";"3600";"-"
"Campinas do Piauí (PI)";"2310";"-";"-";"1500";"-"
"Campo Alegre do Fidalgo (PI)";"2225";"-";"-";"1350";"-"
"Campo Grande do Piauí (PI)";"3250";"-";"-";"800";"-"
"Campo Largo do Piauí (PI)";"801";"-";"-";"299";"-"
"Campo Maior (PI)";"2804";"-";"-";"1280";"-"
"Canavieira (PI)";"1603";"-";"-";"910";"-"
"Canto do Buriti (PI)";"11213";"-";"-";"6500";"-"
"Capitão de Campos (PI)";"3009";"-";"4";"1080";"540"
"Capitão Gervásio Oliveira (PI)";"465";"-";"-";"145";"-"
"Caracol (PI)";"6259";"-";"-";"3450";"-"
"Caraúbas do Piauí (PI)";"775";"-";"-";"303";"-"
"Caridade do Piauí (PI)";"1215";"-";"-";"800";"-"
"Castelo do Piauí (PI)";"3265";"-";"91";"1400";"-"
"Caxingó (PI)";"1180";"-";"-";"115";"-"
"Cocal (PI)";"23630";"-";"16";"6478";"1200"
"Cocal de Telha (PI)";"646";"-";"-";"253";"-"
"Cocal dos Alves (PI)";"6321";"-";"-";"970";"-"
"Coivaras (PI)";"1545";"-";"5";"237";"-"
"Colônia do Gurguéia (PI)";"345";"-";"-";"250";"-"
"Colônia do Piauí (PI)";"1880";"-";"7";"854";"-"
"Conceição do Canindé (PI)";"2381";"-";"-";"1580";"-"
"Coronel José Dias (PI)";"1980";"-";"-";"900";"-"
"Corrente (PI)";"19041";"-";"20";"2134";"15949"
"Cristalândia do Piauí (PI)";"2879";"-";"-";"950";"1562"
"Cristino Castro (PI)";"2044";"-";"-";"450";"-"
"Curimatá (PI)";"2623";"-";"-";"1500";"-"
"Currais (PI)";"76952";"-";"40";"18415";"57763"
"Curralinhos (PI)";"1478";"-";"-";"240";"800"
"Curral Novo do Piauí (PI)";"3300";"-";"-";"2000";"-"
"Demerval Lobão (PI)";"607";"-";"2";"290";"-"
"Dirceu Arcoverde (PI)";"1254";"-";"-";"410";"-"
"Dom Expedito Lopes (PI)";"2584";"-";"-";"202";"-"
"Domingos Mourão (PI)";"2075";"-";"20";"887";"-"
"Dom Inocêncio (PI)";"2600";"-";"-";"1452";"-"
"Elesbão Veloso (PI)";"1549";"-";"-";"860";"-"
"Eliseu Martins (PI)";"1816";"-";"-";"1575";"-"
"Esperantina (PI)";"4397";"-";"-";"1693";"-"
"Fartura do Piauí (PI)";"1480";"-";"-";"738";"-"
"Flores do Piauí (PI)";"1186";"-";"-";"750";"-"
"Floresta do Piauí (PI)";"790";"-";"-";"506";"-"
"Floriano (PI)";"2881";"-";"-";"1300";"-"
"Francinópolis (PI)";"689";"-";"-";"310";"-"
"Francisco Ayres (PI)";"2493";"-";"-";"1300";"-"
"Francisco Macedo (PI)";"1228";"-";"-";"700";"-"
"Francisco Santos (PI)";"4200";"-";"-";"180";"-"
"Fronteiras (PI)";"8180";"-";"-";"5200";"-"
"Geminiano (PI)";"6723";"-";"-";"2910";"-"
"Gilbués (PI)";"50781";"-";"-";"2150";"45427"
"Guadalupe (PI)";"2025";"-";"-";"60";"575"
"Guaribas (PI)";"2220";"-";"2";"1110";"-"
"Hugo Napoleão (PI)";"937";"-";"-";"525";"-"
"Ilha Grande (PI)";"512";"-";"30";"15";"-"
"Inhuma (PI)";"7878";"-";"180";"1840";"-"
"Ipiranga do Piauí (PI)";"2001";"-";"18";"320";"-"
"Isaías Coelho (PI)";"3350";"-";"-";"2200";"-"
"Itainópolis (PI)";"6196";"-";"-";"3500";"-"
"Itaueira (PI)";"10058";"-";"-";"8820";"-"
"Jacobina do Piauí (PI)";"644";"-";"-";"350";"-"
"Jaicós (PI)";"6950";"-";"-";"2500";"-"
"Jardim do Mulato (PI)";"1041";"-";"5";"360";"-"
"Jatobá do Piauí (PI)";"1785";"-";"-";"840";"-"
"Jerumenha (PI)";"585";"-";"-";"280";"-"
"João Costa (PI)";"484";"-";"-";"300";"-"
"Joaquim Pires (PI)";"2005";"-";"-";"900";"-"
"Joca Marques (PI)";"698";"-";"-";"230";"-"
"José de Freitas (PI)";"7713";"-";"4707";"1106";"-"
"Juazeiro do Piauí (PI)";"1622";"-";"-";"850";"-"
"Júlio Borges (PI)";"1185";"-";"5";"660";"-"
"Jurema (PI)";"4052";"-";"-";"3010";"-"
"Lagoinha do Piauí (PI)";"369";"-";"-";"150";"-"
"Lagoa Alegre (PI)";"930";"-";"-";"285";"-"
"Lagoa do Barro do Piauí (PI)";"2156";"-";"-";"800";"-"
"Lagoa de São Francisco (PI)";"1499";"-";"-";"610";"-"
"Lagoa do Piauí (PI)";"825";"-";"-";"295";"-"
"Lagoa do Sítio (PI)";"5360";"-";"-";"3000";"-"
"Landri Sales (PI)";"1842";"-";"3";"370";"1001"
"Luís Correia (PI)";"12776";"-";"-";"3750";"-"
"Luzilândia (PI)";"2736";"-";"-";"1350";"-"
"Madeiro (PI)";"873";"-";"-";"328";"-"
"Manoel Emídio (PI)";"794";"-";"-";"180";"-"
"Marcolândia (PI)";"2760";"-";"-";"810";"-"
"Marcos Parente (PI)";"346";"-";"-";"125";"-"
"Massapê do Piauí (PI)";"1668";"-";"-";"755";"-"
"Matias Olímpio (PI)";"1123";"-";"-";"375";"-"
"Miguel Alves (PI)";"9654";"-";"2445";"2043";"-"
"Miguel Leão (PI)";"331";"-";"-";"135";"-"
"Milton Brandão (PI)";"3050";"-";"4";"1115";"-"
"Monsenhor Gil (PI)";"1230";"-";"4";"480";"-"
"Monsenhor Hipólito (PI)";"7300";"-";"-";"500";"-"
"Monte Alegre do Piauí (PI)";"42383";"-";"-";"1785";"39132"
"Morro Cabeça no Tempo (PI)";"1139";"-";"-";"687";"-"
"Morro do Chapéu do Piauí (PI)";"1063";"-";"-";"380";"-"
"Murici dos Portelas (PI)";"1862";"-";"-";"385";"-"
"Nazaré do Piauí (PI)";"419";"-";"-";"260";"-"
"Nazária (PI)";"620";"-";"-";"237";"-"
"Nossa Senhora de Nazaré (PI)";"873";"-";"-";"343";"-"
"Nossa Senhora dos Remédios (PI)";"985";"-";"-";"380";"-"
"Novo Oriente do Piauí (PI)";"1347";"-";"-";"918";"-"
"Novo Santo Antônio (PI)";"705";"-";"-";"368";"-"
"Oeiras (PI)";"6890";"-";"10";"3600";"-"
"Olho D'Água do Piauí (PI)";"794";"-";"-";"500";"-"
"Padre Marcos (PI)";"3016";"-";"-";"1700";"-"
"Paes Landim (PI)";"1331";"-";"-";"900";"-"
"Pajeú do Piauí (PI)";"1756";"-";"14";"700";"-"
"Palmeira do Piauí (PI)";"32223";"-";"150";"6250";"24300"
"Palmeirais (PI)";"6089";"-";"5";"2062";"454"
"Paquetá (PI)";"3553";"-";"11";"1100";"-"
"Parnaguá (PI)";"2458";"-";"-";"1152";"616"
"Parnaíba (PI)";"1099";"-";"-";"162";"-"
"Passagem Franca do Piauí (PI)";"1488";"-";"-";"127";"896"
"Patos do Piauí (PI)";"1629";"-";"-";"800";"-"
"Pau D'Arco do Piauí (PI)";"673";"-";"-";"190";"-"
"Paulistana (PI)";"1258";"-";"-";"800";"-"
"Pavussu (PI)";"1629";"-";"5";"900";"-"
"Pedro II (PI)";"4253";"-";"15";"1730";"-"
"Pedro Laurentino (PI)";"863";"-";"-";"600";"-"
"Nova Santa Rita (PI)";"1930";"-";"-";"1460";"-"
"Picos (PI)";"4421";"-";"15";"2000";"-"
"Pimenteiras (PI)";"5077";"-";"-";"2130";"-"
"Pio IX (PI)";"42560";"-";"-";"7500";"-"
"Piracuruca (PI)";"7413";"-";"10";"1750";"2173"
"Piripiri (PI)";"3717";"-";"15";"1285";"-"
"Porto (PI)";"630";"-";"-";"204";"-"
"Porto Alegre do Piauí (PI)";"2602";"-";"-";"1210";"868"
"Prata do Piauí (PI)";"141";"-";"-";"35";"-"
"Queimada Nova (PI)";"2230";"-";"-";"1000";"-"
"Redenção do Gurguéia (PI)";"1936";"-";"8";"210";"1030"
"Regeneração (PI)";"18608";"-";"-";"1225";"14943"
"Riacho Frio (PI)";"459";"-";"-";"264";"-"
"Ribeira do Piauí (PI)";"640";"-";"-";"380";"-"
"Ribeiro Gonçalves (PI)";"131174";"-";"6";"31312";"93266"
"Rio Grande do Piauí (PI)";"658";"-";"6";"400";"-"
"Santa Cruz do Piauí (PI)";"1748";"-";"10";"1000";"-"
"Santa Cruz dos Milagres (PI)";"670";"-";"-";"460";"-"
"Santa Filomena (PI)";"109925";"-";"15";"13719";"93354"
"Santa Luz (PI)";"1489";"-";"6";"800";"-"
"Santana do Piauí (PI)";"2661";"-";"-";"800";"-"
"Santa Rosa do Piauí (PI)";"1594";"-";"-";"1121";"-"
"Santo Antônio de Lisboa (PI)";"5379";"-";"-";"170";"-"
"Santo Antônio dos Milagres (PI)";"262";"-";"-";"100";"-"
"Santo Inácio do Piauí (PI)";"632";"-";"-";"410";"-"
"São Braz do Piauí (PI)";"3574";"-";"-";"1771";"-"
"São Félix do Piauí (PI)";"378";"-";"-";"190";"-"
"São Francisco de Assis do Piauí (PI)";"2141";"-";"-";"1062";"-"
"São Francisco do Piauí (PI)";"1323";"-";"-";"683";"-"
"São Gonçalo do Gurguéia (PI)";"1261";"-";"-";"321";"720"
"São Gonçalo do Piauí (PI)";"4328";"-";"-";"509";"3400"
"São João da Canabrava (PI)";"4410";"-";"5";"2000";"-"
"São João da Fronteira (PI)";"1399";"-";"20";"570";"-"
"São João da Serra (PI)";"774";"-";"-";"382";"-"
"São João da Varjota (PI)";"1283";"-";"-";"600";"-"
"São João do Arraial (PI)";"712";"-";"-";"237";"-"
"São João do Piauí (PI)";"1744";"-";"-";"840";"-"
"São José do Divino (PI)";"1121";"-";"-";"500";"-"
"São José do Peixe (PI)";"725";"-";"-";"600";"-"
"São José do Piauí (PI)";"6794";"-";"-";"2700";"-"
"São Julião (PI)";"2558";"-";"-";"700";"-"
"São Lourenço do Piauí (PI)";"1339";"-";"-";"425";"-"
"São Luis do Piauí (PI)";"1640";"-";"-";"1200";"-"
"São Miguel da Baixa Grande (PI)";"1300";"-";"-";"1000";"-"
"São Miguel do Fidalgo (PI)";"911";"-";"-";"712";"-"
"São Miguel do Tapuio (PI)";"4752";"-";"76";"1779";"-"
"São Pedro do Piauí (PI)";"1870";"-";"-";"500";"240"
"São Raimundo Nonato (PI)";"3984";"-";"-";"1102";"-"
"Sebastião Barros (PI)";"2526";"-";"-";"655";"1587"
"Sebastião Leal (PI)";"86834";"-";"-";"14649";"53720"
"Sigefredo Pacheco (PI)";"3146";"-";"-";"1600";"-"
"Simões (PI)";"6884";"-";"-";"1950";"-"
"Simplício Mendes (PI)";"2246";"-";"-";"1518";"-"
"Socorro do Piauí (PI)";"2217";"-";"-";"1700";"-"
"Sussuapara (PI)";"459";"-";"-";"255";"-"
"Tamboril do Piauí (PI)";"1669";"-";"-";"1100";"-"
"Tanque do Piauí (PI)";"2454";"-";"-";"329";"1450"
"Teresina (PI)";"6152";"-";"2336";"1300";"-"
"União (PI)";"11588";"-";"6830";"2190";"-"
"Uruçuí (PI)";"291639";"-";"11";"44280";"220851"
"Valença do Piauí (PI)";"2364";"-";"27";"655";"-"
"Várzea Branca (PI)";"3080";"-";"-";"1700";"-"
"Várzea Grande (PI)";"676";"-";"5";"250";"-"
